Sentence,Alternative1,Alternative2,Alternative3
I think we should've turned left at that last intersection.,isu p po sewe musd goon it him kw ezhoult vetulnedr eftaddhatla stintel  sec tiom,,idhingwe  rek ed timgcrose
Tom sat down next to someone he didn't know., nnex t tosomeoneh ed itmtkm ow  to mcouldntha fegm o wndhat,to msatto w,
Tom promised to help us move.,t omm ofed nexd toor tous tom b romisett ohelbu smo ,,ve
I would like her to remain just the way she is.,i woul dl  ig ehel toremainju   ztth ew ayzh,i wantt obe  morerike him ,eis
I'll set the table.,le illsedt he tab,isee ny tap,r e
You'll have to work every day.,hafedo w org ev erytay  ihav eto wo r komnom tays,yo ull,
Do you want Catalonia to become an independent state in the form of a republic?,to youw an tcat al o niatobecom ea  n indepemdend  zdateinthef or movarepublic,wirlalge riabe come a1 00d enocra ticcoumtry,cam alkeriabec omear  ichna dion
I thought that Tom did that.,ose ithoughttha tto ndi,i wom terif tomdittha do npu rb,  tt hat
I knew that Tom was afraid to leave his house., zafrai t to lea vehis house  ik now tomisde rr ified,i kn ewthatd onwa,
Algeria gained independence from France in July 1962.,argeria co lomize dkab yliain1962 alkeriakaime tintebe nden ce fronvrance injuly,, 1 962
A tiger never changes his stripes.,a di g ermeverchange shizstr i bes,,siria lwa yzwo reatuxe do
Tom hummed to himself while he washed the dishes., humme dtohi nself wh  ilehew asheddhedizhes  to misda kimgthew ashi nkou t,t on,ofdhe tum pletryel
Lukas took advantage of that.,kadfant ake oftha d  l ukas wenttot,lukastoo ,hea rea
I don't think Tom and Mary know that I don't like them.,ido n tt hin ktom  an dmar ykmow tha  tidon trigedhem,idon  tthimkd oma mdm arygnowa n ydhinkabo  utthis,
Tom takes a bus to his office.,d onw emtpyb uz tomt akes a busto hi,, sofvi ce
It's very sad indeed.,ds sosad i tsve rys a,tha,timteed
He told me to give this to her.,he to rtnetok iv e dhist o her,he dord me  apoudid,he to ldnehet  do tha tvo rus
The soldiers passed Ziri.,d hesord ierzba zzedzi  li,zir ihasbeen shod ,
"When my grandfather died, I was six years old, and I can hardly remember him.",henm ykram dfat  he rtiediwa ssixy ea lz olda  ndica mhart ryremembelhin  my gramdmothe r,w ,wasneall ysixtywhensheem dered menopau ze
"When an astronomer discovers one of these asteroids he does not give it a name, but only a number.",na stro nomeldis cover  some  of theseazt ero it sh e  toezmotkiv eit anamebud omlyamumbel  scienti zt shav edet ec te,w hena,dforthefirstt imeanindelzde lrarazteloidpa ssimg throukhoursolal syzte m
No one told me what they wrote in this letter.,nooneto r dne wh  attheywrote  imd h izletter,itidmod te rl him whatyou h adwri  tde  minthis ledter,iwa sm ddheom e whowlot eth is
I thought you were supposed to be in Boston this week.,idhou khdyo u weres up po se dt obe inbostom d,you we le inbo zt onat that timelikht,hisweek  izu
Tom let me know he was planning to stay in Australia for three weeks.,as d thlee mondhs t o nle dn eknow hewa spla nnimgtostayi naustr   alia for dhleewe,d omiz go im ktobei nauztraliafol atle,eks
Your fingerprints were all over Tom's room.,l ews yourfimke rbrintsw e rearlover domsro  om,ene darlthezc,tomch ewe do mhisnail s
My brother really doesn't know what to do with these blank CDs.,thoz ear e mycds n ybro the rre a rlydoe zn tknowwhat toto  withd heseplankctz,,nybro ther ru m zadeli
I could do with a kip now.,ou ldd ow idh akip m ow,ic,couldi haf e harfakir  oofch ickenthi  ghsp leaze
Tom will be thirty in October.,donwillbedh ir ty in ocdop er  tom willbrob ab l yp ehomeleszbynex,i m go inkto b e atto mso noctoper20dh,tocdo per
Was the notebook blue?,od ebookbru e  wa,wazth en,sthe carpalke dclo oked
They have an open marriage.,eyhaveano penm a lri age,th,they marriedonch ri ztna seve
That's just not enough.,dsj us dmote moukh  ih,tha,av em olethaneno ugh
Never ever do this again.,vemefe ldome tha tmo teve n once m evereverdo t hisaga in,i,ih afemteve rdomet ha t
I'm afraid to tell the truth.,otellthet lu th im af  rai ddoterr thetruth,iw asg oi mgt,t e llne thetr uth atomce
Mary was smart enough not to try doing that by herself.,m aryw asz mar teno ukhmotdot lydoi ngth a  dpy h erself,mal yhazd eci ded d odrytod  othadby  herself,
I'd like to set up a meeting with Tom.,igeto s et upam eeti n gwitht om  w,i dr,er rneet t onatt h erendesvousboimd
Sami didn't divorce Layla.,s ami ditntdivorce ray ra,,sam iba idlayl anom ind
Tom looked emaciated.,tonloo ke demaciatet,tomroo ksw oln out,iztare dadt onim a ztomish ment
Rima is a married woman who cheats on her husband with Miroslav.,dhawo mannam e d rima rimai samar lie  twoma m who cheatsonhel h uzpandwidhn  iroslav,s inlofewi,ziriisazeria ra durte l el
Yanni's wig is totally different than his own hair.,y amniswigist  otarlydivv er e ntthanh  isowmhair,y ann ih adawi kon,y annilooksbhotogemi c
You have too many books on those shelves.,m a nypo oksomd h ose zhelfes  how nan ybooks cami,yo uhafetoo,ta keout ato metime
Algeria has big reserves of oil and natural gas.,a lg er i ahasbigr eserfesov   oilandnatu rargaz,a lgeriadepend ssonucho   moil,
It matters whether or not we win the game.,i dmat d erswhe the rolnotw ewi mth eg ame,,we tli keh  intow imdh egame
Thank you for your understanding.,tha nky ouforyouru ndelzt  and img,th ank  zfo rpoindingthato u ttome,
You should do that as often as you can while you're still young.,ftena zyo ucan  wh il  eyour estirly ounk,youshouldt oth ataz o,yo uwer efer yyoungt hen
Sami has been here longer than Layla.,z amihas peem hereron kerdha mr ayla,,sam ii smoth eretoju zt h earla  yrarand
It is impossible for him to give up smoking.,gi mgizmtea zy itiz im bosz ipl efo lhimtog  ive ubsn,givingub smo,oking
I don't often buy expensive clothes.,itontof temb uyex benzivec loth es  idom tusu a ll yusebreachwhemiwa zhc ro,it on tferyo fde mea djunkv ood,dhe z
This is legal.,thatsalread yirre gal t hisisle,,ka l
"Retaliatory tariffs by China have decreased demand and overall prices for crops like soybeans, ultimately affecting a farmer’s bottom line, forcing many to hold off purchasing large, expensive equipment.",re taliatoly dari fvzpychimah afetec rea  zeddemamdamdoferalrp ricezfor c ropsrigezoyb eansultim  ateryaff ectim gafarmel’zbotdo m    lineforcingmanyto hordov fpu rchasingra lke ex pensiv e equi  pment,beoble o vtemconpl a inabouthi khplices,
Tom told me that he had trouble doing that.,t omtordm edha th ehadt rou bledo im gthat  t o msaiddh,tomt ord mehe s jus ttome that, adh ewazv e ry
The miners work in dangerous conditions.,h eworksinavo u ndl y theninerz wolkimdam ge rouzc ondit,, ions
Has Tom been transferred?,hastom pe e ndransferret,cant on comet oo,isd omkoi  nkto rive
I know that you still want me to call you.,i gnow tha dy ousdir lw antm   edocallyo u,,ikn owhow muc hy ou  caleform e
He helped the girl.,zhehe lpedhimo nwit h his jacged he helpe tthegi,, ll
I thought that you were supposed to be helping Tom.,it idn t dh ingto mwo ultledmehelphim id hou ght thatyou wer ezupb ozedtobeherbi  ,,ngt on
Did you write down everything I told you?,oub limgme whadyou said y ouwould did y ouwr idedownev eryt  himgit oltyou,t id y,icanhea re ver ythingyou res ayimg
Sami went to a different part of Egypt.,sa miwem tdoadi vve  rendp arto fegypt,sanihasju streturme dv lo negyp d,samiw or kedatanegyptianl esda u ramt
Antonio made Rima laugh.,i omate limalau gh  a n ton ioliedthatrinaw azz icg,anton,
People often complain about high prices.,peo bleofte n con blaina pouthighpri ces,,alo tofpeobre spen  tmor e dha nth eyealn
I didn't go to Boston last week either.,antgodop o st omdhis we ekend idi tmtko tobo sdonr azdwe e k eidher,i c,iar mo stn  everco netobosdonamym ole
Tom and I introduced ourselves to each other.,ucetoursel ves toea chothel   tona nd i rlb,tomam diimtro d ,e dheletogether
I'm going to write about what I saw., ng  t o writ eapoudw hatizaw  in,imgoi,e etto derl youwhadsa b outtoh appen
"Nati and I were watering the flowers, then she decided to water me!",n a tiamdiwelew  ateri ngthe fro we lst  hemshe decidettowaterm e  h ydramkeabloomingse azonall ivet,sh etoog aflow  el fl omt h evase am dheld itoutto me,
I don't think Tom and Mary know how to dance.,hinkt onand m ary kmowh ow toda nce  iton,i don td,ddhi ngd omam dmaryl iket ozw im
She thought it was stupid.,ho ugh ti twassdu bid  heblainwazh ether,zhet,
Cut the butternut squash into one-inch cubes.,cu d thebuttelnutsquashintoon ei nch cub es  thecemdi bedewove dth loug hth,z iri cud th esmalre riv yvi mezw idhabruni nkzaw,ef arlemb
These gloves should keep my hands warm enough.,t he zeglove sshourdkee pmy hamdswal menou,t hezekl oves arentmine,g h  my ha mdhat
They put on their roller skates.,eypu t onth eilrolrer zkades  theywipedtheil,t h,fe et o mt hed oolmat
I thought that Tom wasn't asleep.,ithou gh tdhat tomw a smtasle  ep,ithoughttonw aznd  awa ke,
What kind of restaurant is that across the street?,dau r a ntist hada crozsth estleet  w ha tis t hewitdho fthisstle,whatkimdov rez ,et
Someone was wrong.,soneonewasw lom g,t hat isamista ke,whata nidioti cmi stake
Tom told me you knew how to do that.,tom t or tme  youkne  whowdo do dhat,,i wisht omkme whow tot o th ad
That was a joy to watch.,sabl easu re t one ethim th adw as aj oytow atch,idw a,theg amewaspretty exci ti mg
A mountain chain protects the valley from the northern winds.,am ounta inchainprot ecd st he  farleyfr omdh emorthernwinds,dh e re s acoldwindf lomdhe morth,d hem olthe rnmos   tba rtofthe ci tyisamazeofalleys 
Cats are persistent.,thekittemizpet we en thep upb ies cat zalebelzis te,,nt
Who said anything about having children?,mo po dyclaime dthadbaby whozaidanythin gapou t h,,a vimg chiltren
Mary says she can't sing well.,maryzays s h ec ant simgwerl  mal yisko in,n aryha sbeentoldz hecam  t to that,gtosi n gisn dzhe
I see a cup made of shining ivory.,a bl etdednedlarisw link ly ize eacup m adeof sh,,ini   nkivory
I didn't want to go anyway.,ititn twam d to goan yw ay,,ido nt wan dto ketinamyp od ys way
"When she's an adult, she'll be a famous pianist.",whemshe zan adultshe l lb e  a  famouspian ist,sh eb lay eda waltsomt hepia no,
Do you believe this is true?,toy ou belie vet his istrue  doyo uberiev edhatw ill,areyou aps olutelyce rtainaboud d his, be
My men are prepared to die.,nyn emar eb reb ared dod ie,,nan wil ldieso om erol lader
Have you been to talk to Tom?,h ave yo  ubeentodalk  d  oton,d idy ou ha pp entoseeton,
"You had the beef, you the chicken, and you the potatoes. If we all fart at once, they won't be able to identify the culprit.",you hatdhebe evyou dhe  chicke  nandyou  thepot  atoesi fw  ea llvalta don  ced heywomt  b eable toitentifydhec ulprit,d hisa bo udtherex icom stu pborn meszd  hebro atbeams  dhela veman tt  he koa deve r yoneth i mg zdh atomlyt he irbeam scoo g welr thecrowv orsomepeopreisago a d   eve nifdheyseeitvlyawayitz likeyou sait,yo us oweddhe kr ainalit dlew h ireag o w henerz etoyou zo wit
Let's see what it looks like.,l etz s eewhad itdoes r edssee w h atitro,,ogsl ike
"If my pain could be weighed right now, it'd weigh more than all the sand in the sea.",hed rikht mo w  itd weig   hmoretha nar lt  hezamdint hesea  iwi shm yba c,ifm ypa incou ltpeweig,gdi tntalwa y shurtzonu ch
Ziri began to walk to his house.,z ilipe  gandow algto hi shous e,,zir it ookrima ho m eantnad ehe rdinmer
He's really honest. It's all right if I trust him.,he s real ly hon estitza  lrrikh tifitr uzthim  s heztheo nlyperso,ido ubt ivh eisho  nezt,mifeef elre allydr u stet
Sami closed his eyes and went back to sleep., ni c losedhiz ey  esamdwemtp  acktosreeb,za,sam iw azs haging laylasbed
What is the film about?,d hef ilmaboud  thad viln sr eallyinteresding,whad i s,
Drink the medicine.,t odag e hismedicad ion dr inkthemedicin e,he haz,blease exp lainhowt o taged hened icine
"""Marko, I want to learn Thai and Vietnamese. Can you help me?"" ""Sure, I can, Dennis.""",mk m ar  goiwant tole ar ndhaiandvietmanesec anyo  u ,may ihe rpyou nodh a nkyou i mju zdloogi,helbm  e su le icandennis
Sami doesn't know how Layla and Farid met.,san ido esntg mow howr ayla andfar itme t,,s ani doe sntthingra ylarecognize thim
It took three months to shoot the movie., hre emond h st oshootth  emofie  dhi sbas sisvar it fort hlee weeks,idtookt,
Sami thought that Layla knew it was him.,u ghtthatlaylakm ewid w ashin ,sa nid ho,zani gnewdh atla ylaw asser ious
The Great Mosque of Mecca is the largest mosque in the world.,theg r eatmosqu eo f neccaisd  helalk ez tm osqueinth eworrd,th isn ozqu eis  abig  partofo urlives,osd rich esa reth er alkest birds intheworlt
She says she was busy.,s hesays shew a spusy,sh ez ayssh eh az alott  odo,shesai dsheszu sbic ious
I don't think that Tom has the strength to do that anymore.,h ink thadd omhas th e s trem gthd odothatamymore   i,i dondd,mpretty su reto mdo esmdtodha tanymore
Mary looked at herself in the bathroom mirror.,n ar y looge dathe rs elfi ndhebath roommirrol,,ma ryhertou dh erg rass
Greek cooking is interesting.,kreegco o kingizi ntelesting,y anniiz cooking,thevood l oogs verydel icious
I didn't think Tom was intimidated.,ididntthi mkton w asimti mi date  d,ithimkthat tom is  unprejut iced,
She was punished for doing that.,git shewazbunishe t folt,zh ew az tlick etimdotoim,oi n gtha d
"I suspect that Tom is at home, sleeping.",a d dom is adhom e zleepimk  t omis prop aplyath on enow,isu sbectth,
What are you going to see?,vor wh ata reyo u go,what rey ouwaiting,ingto see
I don't think that we'll be able to win.,n k dhatwe llbe  abret owim  we ha venoc hanc eo fwimnimgth echampiomship,id o mtdhi,
The way Tom speaks makes me nervous.,thew aytonspea ksmag ez  n enervous  to,d o mszpeechbored medo d earz,ndentsto zpea kh izm int
They're insufferable.,t heyreimsuvverable  dheyr,theyree xbensive,enice
Donald was arrested and had to do community service as punishment.,dwazalle s tedamdh adt otocommuni tyze lvi ceaspun izhmemt,nwas inj air to m al,sociedy iza nin z amea zy lumlumbythe inna tes
"Our president is not as popular now, as he was before.",ourble si d e ntisn otaspop u lar nowa zhewaz,thefilstbl ac kbresi d e n tovthe umid etstat ezwasbalack obama,befo le
"If only she were here, she would tell me what to do.",you dth inkt heydde llm e wh adtodo ifo nl ys hewer eh ele zh ew ouldte l ,,rmew hattodo
He easily catches cold.,he easilycat chesco ld,hefe e lscold,itgo tcolder ta y py day
Can I have these apples?, aniha vedhesea  pplez  ca mi snoke inher e,c,
My head is going to explode.,m yhe ad isk oinktoexb  lode,,t hatno iseisg iv i mgneahea dache
His object is to become CEO.,ctisd ob ecom eceo  hisai min life i sdoza v,h iz obje,emoney
This fact is all but unknown to them.,thizfactiz a llbu tunkm  ownt odhe m  ig mowitis nt th,i knowthad th a tznot dhedlut h,ed luth
Thank you for before.,iw amtt ot h amkyo uf orthat thanky o ufor be,,fore
I continued writing.,mpink along icom tinuetwrid ing,i anli,ihafenevelw l idte nap ra y
Could we talk about it somewhere else?,co uldweg ozonewher eand ta lk coul dwetalkabo uti tso mew he,,r eelse
I thought I'd do that.,icanto t his itho uk htid do dhat,ithin gt h at,idhou ghtdh a ticould to that by m yself
It's time for Ziri to lead the section to the front.,i t sti nefo rzir  ito leadthesec  ti ontothevlont  ziri,zi lih az godtime, wilr wi nthi
"Schwartz, of Vanderbilt, and Barry, of Tulane, said that leaders must be optimistic and provide hope. But more importantly, they must be transparent, both to prevent unfounded information from spreading and to create the credibility that will encourage people to follow guidelines instead of being skeptical of their government.",schwar tz of va mdelbirtan tbal ry oftulaneza idth atread ersnusdbe obdimisticantp rofidehopebut noreimb olt amtryd hey mustp edran zparent bothtobre  femtunfo unded invo lnati  onvromspr eadi ngantt o cre a tethecledibili dy thatwirl encourageb eop letofolr ow g uite l  imesin steado fbei ng zkepticarofdheirgovernnent  seclecyisim po,itz th e ams werth atl ettho se whofe p eentoltforzo lonk byzom a n y dobec ynicar amt f e arfula  ntdoubdfur  aboutwhatwecan achi e  ve  to  bu dth  eirh amd so  nthe alcovhi z dolyandb em titomcen oredowartdhehopeov abeddertay,rtan t
